Rank	Player	Land	Days	Score
1	Сандро	Мёртвый и Похороненный	75	200
2	Астрал	Все за одного	100	190
3	Орис	По колено в смерти	125	180
4	Лорд Хаарт	Зима Титанов	150	170
5	Аламар	Сфера Дракона	175	160
6	Стиг	Изумрудные острова	200	150
7	Йог	Поражение окружения	250	140
8	Аджит	Поиски Грааля	500	130
9	Иона	Мандат Рая	750	120
10	Тазар	Миф и Легенда	1000	100
11	Ваше имя	Просто игра на карте	2000	1
Rank	Player	Campaign	Days	
1	Фафнер	Песня для Отца	500	1000
2	Гретчин	Долгую Жизнь Королю!	550	875
3	Гундула	Жертвы Войны	600	750
4	Дракон	Освобождение	650	625
5	Инхам	Подземелья и Дьяволы	700	500
6	Тамика	Долгую Жизнь Королеве!	750	375
7	Нимус	Семена Недовольства	800	250
8	Мальком	Освобождение	850	225
9	Сорша	Семена Недовольства	900	200
10	Зидар	Долгую Жизнь Королю!	1000	150
11	Ваше имя	Просто игра на карте	2000	1
