	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Оррин	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Валеска	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Эдрик	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Сильвия	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лорд Хаарт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Сорша	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Кристиан	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Тирис	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Рион	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Адель	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Катберт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Аделаида	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Инхам	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Сания	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лойнис	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Кейтлин	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Мефала	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Уфретин	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Енова	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Риланд	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Торгрим	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ивор	12	24	Centaur	2	4	WoodElf	2	4	WoodElf
Клэнси	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Киррь	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Короний	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Уланд	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Эллешар	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Джем	12	24	Centaur	1	1	FirstAidTent	2	4	WoodElf
Мальком	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Мелодиа	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Алагар	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Аэрис	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Пикедрам	5	7	StoneGargoyle	5	7	StoneGargoyle	5	7	StoneGargoyle
Тан	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Жозефина	30	40	ApprenticeGremlin	4	5	IronGolem	4	5	IronGolem
