			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Вызвать Корабль	Вызв. Корабль	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Вызвать Корабль}

Ближайший нейтральный или собственный корабль перемещается из любой точки карты к герою.

Вероятность успеха 50%.
"	"{Вызвать Корабль базовой ступени}

Ближайший нейтральный или собственный корабль перемещается из любой точки карты к герою.

Вероятность успеха 50%.
"	"{Вызвать Корабль продвинутой ступени}

Ближайший нейтральный или собственный корабль перемещается из любой точки карты к герою. Если такого корабля не существует, заклинание создаёт его.

Вероятность успеха 75%.
"	"{Вызвать Корабль экспертной ступени}

Ближайший нейтральный или собственный корабль перемещается из любой точки карты к герою. Если такого корабля не существует, заклинание создаёт его.
"	 ADV_SPELL
Затопить Корабль	Затоп. Корабль	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Затопить Корабль}

Уничтожает указанный корабль в зоне видимости героя. Будьте осторожны при использовании, заклинание нельзя отменить.

Вероятность успеха 50%.
"	"{Затопить Корабль базовой ступени}

Уничтожает указанный корабль в зоне видимости героя. Будьте осторожны при использовании, заклинание нельзя отменить.

Вероятность успеха 50%.
"	"{Затопить Корабль продвинутой ступени}

Уничтожает указанный корабль в зоне видимости героя. Будьте осторожны при использовании, заклинание нельзя отменить.

Вероятность успеха 75%.
"	"{Затопить Корабль экспертной ступени}

Уничтожает указанный корабль в зоне видимости героя. Будьте осторожны при использовании, заклинание нельзя отменить.
"	 ADV_SPELL
Видения	Видения	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Видения}

Позволяют узнать численность нейтральных отрядов, их готовность сбежать или присоединиться, а также цену их услуг в случае дипломатических переговоров. Радиус действия равен силе магии героя, но не меньше 3. Действуют 1 ход.
"	"{Видения базовой ступени}

Позволяют узнать численность нейтральных отрядов, их готовность сбежать или присоединиться, а также цену их услуг в случае дипломатических переговоров. Радиус действия равен силе магии героя, но не меньше 3. Действуют 1 ход.
"	"{Видения продвинутой ступени}

Позволяют узнать численность нейтральных отрядов, их готовность сбежать или присоединиться и цену их услуг в случае дипломатических переговоров. Дают информацию об армии и основных параметрах вражеских героев. Радиус действия (сила магии x 2), но не меньше 3. Действуют 1 ход.
"	"{Видения экспертной ступени}

Позволяют узнать численность нейтральных отрядов, их готовность сбежать или присоединиться и цену их услуг в случае дипломатических переговоров. Дают информацию об армии и основных параметрах вражеских героев, а также об армии и характеристиках вражеских и нейтральных городов и армии вражеских и нейтральных гарнизонов. Радиус действия (сила магии x 3), но не меньше 3. Действуют 1 ход.
"	 ADV_SPELL
Просмотр Земли	Просм. Земли	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Просмотр Земли}

Показывает местонахождение всех ресурсов на карте.
"	"{Просмотр Земли базовой ступени}

Показывает местонахождение всех ресурсов на карте.
"	"{Просмотр Земли продвинутой ступени}

Показывает местонахождение всех ресурсов и шахт на карте.
"	"{Просмотр Земли экспертной ступени}

Показывает местонахождение всех ресурсов и шахт, а также ландшафт местности на карте.
"	 ADV_SPELL
Маскировка	Маскировка	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Маскировка}

Для противника все отряды армии колдующего выглядят как его самый мощный отряд. Количество воинов в каждом отряде показывается обычным образом. Действует 1 ход.
"	"{Маскировка базовой ступени}

Для противника все отряды армии колдующего выглядят как его самый мощный отряд. Количество воинов в каждом отряде показывается обычным образом. Действует 1 ход.
"	"{Маскировка продвинутой ступени}

Для противника все отряды армии колдующего выглядят как его самый мощный отряд. Количество воинов в каждом отряде показывается равным нулю. Действует 1 ход.
"	"{Маскировка экспертной ступени}

Для противника все отряды армии колдующего выглядят как самый мощный отряд, который может быть нанят в родном городе игрока. Количество воинов в каждом отряде показывается равным нулю. Действует 1 ход.
"	 ADV_SPELL
Просмотр Воздуха	Просм. Возд.	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Просмотр Воздуха}

Показывает местоположение всех артефактов на карте.
"	"{Просмотр Воздуха базовой ступени}

Показывает местоположение всех артефактов на карте.
"	"{Просмотр Воздуха продвинутой ступени}

Показывает местоположение всех артефактов и вражеских героев на карте.
"	"{Просмотр Воздуха экспертной ступени}

Показывает местоположение всех артефактов, а также вражеских героев и всех городов на карте.
"	 ADV_SPELL
