Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Копейщик	Копейщики	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50	Иммунитет к кавалерийскому бонусу.	0
Алебардщик	Алебардщики	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30	Иммунитет к кавалерийскому бонусу.	0
Арбалетчик	Арбалетчики	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30	Стреляет.	SHOOTING_ARMY
Искусный Арбалетчик	Искусные Арбалетчики	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Стреляет дважды.	const_two_attacks | SHOOTING_ARMY
Грифон	Грифоны	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Летает. Отвечает на две атаки.	DOUBLE_WIDE | FLYING_ARMY
Королевский Грифон	Королевские Грифоны	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Летает. Отвечает на все атаки.	DOUBLE_WIDE|FLYING_ARMY
Мечник	Мечники	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Крестоносец	Крестоносцы	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Атакует дважды.	const_two_attacks
Монах	Монахи	0	0	0	0	0	0	400	485	582	3	0	30	5	12	7	10	12	12	0	8	16	Стреляет.	SHOOTING_ARMY
Фанатик	Фанатики	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Стреляет. Нет штрафа при рукопашной.	SHOOTING_ARMY | const_no_melee_penalty
Кавалерист	Кавалеристы	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Кавалерийский бонус.	DOUBLE_WIDE | const_jousting
Чемпион	Чемпионы	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Кавалерийский бонус.	DOUBLE_WIDE | const_jousting
Ангел	Ангелы	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Летает. +1 к боевому духу союзников. Ненавидит дьяволов.	FLYING_ARMY | const_raises_morale | KING_2
Архангел	Архангелы	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	Летает. +1 к боевому духу союзников. Ненавидит дьяволов. Колдует Воскрешение.	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
Кентавр	Кентавры	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
Капитан Кентавров	Капитаны Кентавров	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
Гном	Гномы	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% шанс сопротивляться вражескому заклинанию.	0
Боевой Гном	Боевые Гномы	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% шанс сопротивляться вражескому заклинанию.	0
Эльф	Эльфы	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25	Стреляет.	SHOOTING_ARMY
Благородный Эльф	Благородные Эльфы	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Стреляет дважды.	SHOOTING_ARMY | const_two_attacks
