	Description		
Name	Basic	Advanced	Expert
Поиск пути	"{Базовый поиск пути}

Базовый поиск пути снижает затраты на передвижение по пересечённой местности на 25%."	"{Продвинутый поиск пути}

Продвинутый поиск пути снижает затраты на передвижение по пересечённой местности на 50%."	"{Экспертный поиск пути}

Экспертный поиск пути снижает затраты на передвижение по пересечённой местности на 75%."
Стрельба	"{Базовая стрельба}

Базовая стрельба увеличивает ущерб, вызываемый нападением существ на расстоянии, на 10%."	"{Продвинутая стрельба}

Продвинутая стрельба увеличивает ущерб, вызываемый нападением существ на расстоянии, на 25%."	"{Экспертная стрельба}

Экспертная стрельба увеличивает ущерб, вызываемый нападением существ на расстоянии, на 50%."
Логистика	"{Базовая логистика}

Базовая логистика увеличивает число единиц передвижения героя по суше на 5%."	"{Продвинутая логистика}

Продвинутая логистика увеличивает число единиц передвижения героя по суше на 10%."	"{Экспертная логистика}

Экспертная логистика увеличивает число единиц передвижения героя по суше на 20%."
Разведка	"{Базовая разведка}

Базовая разведка позволяет герою видеть на 1 квадрат неразведанной территории дальше."	"{Продвинутая разведка}

Продвинутая разведка позволяет герою видеть на 3 квадрата неразведанной территории дальше."	"{Экспертная разведка}

Экспертная разведка позволяет герою видеть на 5 квадратов неразведанной территории дальше."
Дипломатия	"{Базовая дипломатия}

Базовая дипломатия позволяет вести переговоры с монстрами, которые слабее, чем ваша группа, и снижает цену капитуляции на 20%."	"{Продвинутая дипломатия}

Продвинутая дипломатия позволяет вести переговоры с монстрами, которые слабее, чем ваша группа, и снижает цену капитуляции на 40%."	"{Экспертная дипломатия}

Экспертная дипломатия позволяет вести переговоры с монстрами, которые слабее, чем ваша группа, и снижает цену капитуляции на 60%."
Навигация	"{Базовая навигация}

Базовая навигация увеличивает число единиц передвижения героя по морю на 50%."	"{Продвинутая навигация}

Продвинутая навигация удваивает число единиц передвижения героя по морю."	"{Экспертная навигация}

Экспертная навигация увеличивает число единиц передвижения героя по морю на 150%."
Лидерство	"{Базовое лидерство}

Базовое лидерство поднимает боевой дух отряда героя на 1."	"{Продвинутое лидерство}

Продвинутое лидерство поднимает боевой дух отряда героя на 2."	"{Экспертное лидерство}

Экспертное лидерство поднимает боевой дух отряда героя на 3."
Мудрость	"{Базовая мудрость}

Базовая мудрость позволяет герою изучать заклинания третьего уровня."	"{Продвинутая мудрость}

Продвинутая мудрость позволяет герою изучать заклинания четвёртого уровня."	"{Экспертная мудрость}

Экспертная мудрость позволяет герою изучать заклинания пятого уровня."
Мистицизм	"{Базовый мистицизм}

Базовый мистицизм позволяет герою восстанавливать 5 ед. маны в день."	"{Продвинутый мистицизм}

Продвинутый мистицизм позволяет герою восстанавливать 10 ед. маны в день."	"{Экспертный мистицизм}

Эксперт мистицизм позволяет герою восстанавливать 15 ед. маны в день."
Удача	"{Базовая удача}

Базовая удача увеличивает удачу героя на 1."	"{Продвинутая удача}

Продвинутая удача увеличивает удачу героя на 2."	"{Экспертная удача}

Экспертная удача увеличивает удачу героя на 3."
Баллистика	"{Базовая баллистика}

Базовая баллистика предоставляет герою контроль над катапультой, давая возможность прицельных выстрелов с увеличенным ущербом."	"{Продвинутая баллистика}

Продвинутая баллистика предоставляет герою контроль над катапультой, позволяя сделать два прицельных выстрела с увеличенным ущербом."	"{Экспертная баллистика}

Экспертная баллистика предоставляет герою контроль над катапультой, позволяя сделать два прицельных выстрела с максимальным ущербом."
Орлиный глаз	"{Базовый орлиный глаз}

Базовый орлиный глаз даёт герою 40% шанс изучить любое заклинание 1 и 2 уровня, используемое в бою."	"{Продвинутый орлиный глаз}

Продвинутый орлиный глаз даёт герою 50% шанс изучить любое заклинание вплоть до 3 уровня, используемое в бою."	"{Экспертный орлиный глаз}

Экспертный орлиный глаз даёт герою 60% шанс изучить любое заклинание вплоть до 4 уровня, используемое в бою."
Некромантия	"{Базовая некромантия}

Базовая некромантия позволяет восстановить из мёртвых в виде Скелетов до 5% убитых в бою врагов."	"{Продвинутая некромантия}

Продвинутая некромантия позволяет восстановить из мёртвых в виде Скелетов до 10% убитых в бою врагов."	"{Экспертная некромантия}

Экспертная некромантия позволяет восстановить из мёртвых в виде Скелетов до 15% убитых в бою врагов."
Поместья	"{Базовые поместья}

Базовые поместья дают в ваше распоряжение 250 золотых в день."	"{Продвинутые поместья}

Продвинутые поместья дают в ваше распоряжение 500 золотых в день."	"{Экспертные поместья}

Экспертные поместья дают в ваше распоряжение 1000 золотых в день."
Магия Огня	"{Базовая магия Огня}

Базовая магия Огня позволяет герою творить заклинания Огня по уменьшенной цене."	"{Продвинутая магия Огня}

Продвинутая магия Огня позволяет герою творить заклинания Огня по уменьшенной цене и с увеличенной эффективностью."	"{Экспертная магия Огня}

Экспертная магия Огня позволяет герою творить заклинания Огня по уменьшенной цене и с максимальной эффективностью."
Магия Воздуха	"{Базовая магия Воздуха}

Базовая магия Воздуха позволяет герою творить заклинания Воздуха по уменьшенной цене."	"{Продвинутая магия Воздуха}

Продвинутая магия Воздуха позволяет герою творить заклинания Воздуха по уменьшенной цене и с увеличенной эффективностью."	"{Экспертная магия Воздуха}

Экспертная магия Воздуха позволяет герою творить заклинания Воздуха по уменьшенной цене и с максимальной эффективностью."
Магия Воды	"{Базовая магия Воды}

Базовая магия Воды позволяет герою творить заклинания Воды по уменьшенной цене."	"{Продвинутая магия Воды}

Продвинутая магия Воды позволяет герою творить заклинания Воды по уменьшенной цене и с увеличенной эффективностью."	"{Экспертная магия Воды}

Экспертная магия Воды позволяет герою творить заклинания Воды по уменьшенной цене и с максимальной эффективностью."
