	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Seer Empty Text	Здесь, должно быть, жил Провидец %s, но такое ощущение, что дом уже некоторое время заброшен.	Местные говорят, что это в этом доме живёт %s, но очевидно, что здесь никого нет.	Вы уверены, что здесь должен жить %s, но всё указывает на то, что дом уже давно пуст.	Время вышло. Вы никогда не сможете пройти здесь.	Время вышло. Вы никогда не сможете пройти здесь.	Время вышло. Вы никогда не сможете пройти здесь.	Время вышло. Врата закрыты навсегда.	Время вышло. Врата закрыты навсегда.	Время вышло. Врата закрыты навсегда.
Experience level quest	Я стар и мудр, и я не позволю входить в мой дом первому встречному. Я впущу вас, только когда вы достигнете %d уровня.	Моя награда предназначена тем, кто достаточно мудр, чтобы обладать ею. Доберитесь до уровня %d, и награда не заставит себя ждать.	Я стар, я умираю. Я готов завещать всё тому, кто будет этого достоин. Достигните уровня %d, и я поверю в вас.	Земли по ту сторону очень опасны. Стражи смотрят на вас с сомнением, но соглашаются вас пропустить, если вы достигнете уровня %d.	Извините, но это Дом Гильдии, и вход разрешён лишь членам. Пока вы не достигнете уровня %d, мы не примем вас.	Наш король не любит молокососов. Чтобы пройти на его земли, вам нужно достигнуть уровня %d.	По ту сторону лежат земли, о которых известно очень мало. Стражи поставлены здесь, чтобы не пропускать плохо подготовленных искателей приключений. Достигните уровня %d, чтобы вам разрешили пройти.	За этими воротами расположены охотничьи угодья, населенные очень опасными бестиями. Пока вы не достигнете уровня %d, мы не пропустим вас.	Вы читаете надпись: «Открыть эти врата может только поистине могучий герой. Чтобы запоры поддались, достигни уровня %d».
Experience quest progress	Тьфу! Опять ты. Возвращайся, только когда достигнешь уровня %d.	Наглец, ты все ещё не добрался до уровня %d, и смеешь мозолить мне глаза? Убирайся, пока цел!	Ты недостоин. Только достигший уровня %d будет моим наследником.	Стражи не пропустят того, кто не достиг уровня %d.	Такого простофилю, как ты, мы ни за что не возьмём в Гильдию. Когда доберёшься до уровня %d, приходи снова.	Король позволит вам войти, только когда вы достигнете уровня %d.	Стражи не пропустят того, кто не достиг уровня %d.	Такого слабака, как ты, за воротами мигом слопают дикие твари. Когда доберёшься до уровня %d, приходи снова.	Запоры откроются, только когда вы достигнете уровня %d.
Experience quest complete	Я знал, что вы сдержите обещание. Вы достигли уровня %d. Заходите, у меня есть награда за ваши старания. Хотите получить её сейчас?	А, вы всё-таки достигли уровня %d. Желаете получить награду сейчас?	Наконец появился тот, кому я могу завещать всё. Вы достигли уровня %d, желаете подписать документы о наследовании прямо сейчас?	Стражи признали, что вы действительно достигли уровня %d. Желаете пройти прямо сейчас?	Теперь, когда вы достигли уровня %d, мы можем принять вас в Гильдию. Членство в ней бесплатно. Желаете вступить прямо сейчас?	Великолепно! Вы достигли уровня %d, и с королём проблем не будет. Желаете пройти прямо сейчас?	Стражи признали, что вы действительно достигли уровня %d. Желаете пройти прямо сейчас?	Теперь, когда вы достигли уровня %d, мы можем пропустить вас в охотничьи угодья. Желаете пройти прямо сейчас?	Вы достигли уровня %d, и теперь врата откроются для вас. Желаете пройти прямо сейчас?
Experience quest rollover	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)	(Достигнуть уровня %d)
Experience quest log	Уровень %s: Провидец %s	Уровень %s: Провидец %s	Уровень %s: Провидец %s	Уровень %s: Открыть проход	Уровень %s: Открыть проход	Уровень %s: Открыть проход	Уровень %s: Пройти через врата	Уровень %s: Пройти через врата	Уровень %s: Пройти через врата
Skill level quest	Я собираю истории великих героев. Мне бы очень хотелось встретить того, кому покорились такие навыки, как %s. Я бы хорошо заплатил за его рассказ.	Великие награды ждут тех, кто сумел изучить такие навыки, как %s. Возвращайтесь ко мне, когда овладеете ими.	Я по праву горжусь тем, чего достиг в жизни, и не собираюсь разговаривать ни с кем ниже себя. Если бы вы изучили такие навыки, как %s, ваши познания превзошли бы мои, и тогда, возможно, мне было бы о чём с вами побеседовать.	Местная охрана — бывшие герои. Они не позволят вам пройти, пока вы не докажете им, что владеете такими навыками, как %s.	Лишь тем, кто овладел такими навыками, как %s, разрешается здесь проходить. И это не ваше дело, почему.	Прекрасная дева изнывает от скуки в башне. Только те, кто может как-то её позабавить, могут пройти. Вам необходимо иметь такие навыки, как %s, чтобы ей было с вами интересно.	Капитан местной стражи очень ответственно относится к подготовке своих солдат. Он хочет, чтобы они прослушали лекцию по таким навыкам, как %s, и ищет наставника, владеющего ими. Никого другого он не пропустит.	Лишь тем, кто овладел такими навыками, как %s, разрешается здесь проходить. И это не ваше дело, почему.	Подойдя к воротам, вы слышите голос, исходящий будто бы из ниоткуда. Он изрекает: «Мастера, владеющего такими навыками, как %s, желаем увидеть мы.» Попытки открыть ворота самостоятельно ни к чему не приводят.
Skill quest progress	Вы нашли мне для беседы великого героя? Он должен иметь навыки, не меньшие, чем %s.	Мне очень жаль, но вы ещё не изучили такие навыки, как %s, и я не буду вам помогать.	Вы всё ещё недостойны. Вы сможете добиться моего уважения, если достигнете успехов в развитии таких навыков, как %s.	Старые герои заставили вас пройти ряд испытаний, и вы их, к сожалению, провалили. Очевидно, что вы ещё не владеете такими навыками, как %s.	Вы не овладели такими навыками, как %s, проваливайте.	Дева строит недовольную гримасу — вы ещё не готовы продемонстрировать владение такими навыками, как %s, и абсолютно не производите на неё впечатления.	Капитан требует продемонстрировать ваше владение науками, но вам не удается его удовлетворить. Очевидно, что вы ещё не владеете такими навыками, как %s.	Вы не овладели такими навыками, как %s, проваливайте.	Вы решаете еще раз попытать счастья, хотя и не овладели такими навыками, как %s. Ворота по-прежнему крепко заперты, а откуда-то слышится хихиканье.
Skill quest complete	Наконец сбылась мечта моей жизни! Вы — настоящая легенда! И вы владеете такими навыками, как %s. Позволите ли вы записать вашу историю?	Я знал, что вы в конце концов выучите такие навыки, как %s. Готовы ли вы принять награду?	Не скрою, приятно встретить превзошедшего меня в познании мира. Вы изучили такие навыки, как, %s, примете ли вы от меня подарок?	Старые герои заставили вас пройти ряд испытаний, которые вы легко преодолели, демонстрируя владение такими навыками, как %s. Желаете пройти?	Вы изучили такие навыки, как %s, желаете пройти?	Вы произвели неизгладимое впечатление на Деву Башни благодаря таким навыкам, как %s. Желаете пройти прямо сейчас?	Вы оказались хорошим наставником и прочли солдатам лекцию по таким навыкам, как %s. Теперь капитан согласен пропустить вас - желаете пройти?	Вы изучили такие навыки, как %s, желаете пройти?	Голос из торжественного постепенно становится раздраженным: "Удалось удивить нас тебе. Такими навыками, как %s, овладел ты. И на что только не пойдут эти герои, чтобы залезть туда, где их никто не ждет."
Skill quest rollover	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)	(Овладеть такими навыками, как %s)
